Author (Citation),Sample ID,Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFOS
#27 Gebbink and Letcher (2010),27GLHG 1,Lake Superior,Granite Island,48.7204,-88.4602,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,148
#27 Gebbink and Letcher (2010),27GLHG 2,Lake Superior,Agawa Rock,47.3508,-84.7007,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,99
#27 Gebbink and Letcher (2010),27GLHG 3,Lake Michigan,Big Sister Island,45.2237,-87.1459,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,205
#27 Gebbink and Letcher (2010),27GLHG 4,Lake Michigan,Gull Island,45.5098,-86.7218,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,193
#27 Gebbink and Letcher (2010),27GLHG 5,Lake Huron,Channel-Shelter Island,43.6729,-83.8288,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,186
#27 Gebbink and Letcher (2010),27GLHG 6,Lake Huron,Double Island,46.1734,-82.8642,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,276
#27 Gebbink and Letcher (2010),27GLHG 7,Lake Huron,Chantry Island,44.4928,-81.4033,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,169
#27 Gebbink and Letcher (2010),27GLHG 8,Lake Huron; Lake Erie,Fighting Island,42.21259629,-83.11846417,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,261
#27 Gebbink and Letcher (2010),27GLHG 9,Lake Erie,Middle Island,41.6817,-82.6817,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,551
#27 Gebbink and Letcher (2010),27GLHG 10,Lake Erie,Port Colborne,42.8683,-79.2583,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,350
#27 Gebbink and Letcher (2010),27GLHG 11,Lake Erie; Lake Ontario,Niagara River,43.0754,-79.0701,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,317
#27 Gebbink and Letcher (2010),27GLHG 12,Lake Ontario,Hamilton Harbor,43.307,-79.8048,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,317
#27 Gebbink and Letcher (2010),27GLHG 13,Lake Ontario,Toronto Harbor,43.6214,-79.3313,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,586
#27 Gebbink and Letcher (2010),27GLHG 14,Lake Ontario,Snake Island,44.1908,-76.5431,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,408
#27 Gebbink and Letcher (2010),27GLHG 15,Lake Ontario,Strachan Island,45.015,-74.8117,Aves,Herring gull,Composite eggs,13,13,4/30/07,2007,422