Author (Citation),Sample ID,Total Length (cm),Waterbody,Region,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFBS,PFBA,PFDA,PFDoA,PFHpA,PFHxS,PFHxA,PFNA,PFOSA,PFOS,PFOA,PFPeA,PFUnA
#34 GLHHFTS (2015),793374,45.75,Lake Erie,NY,GLNS15-1154,42.73212,-78.97097,Pisces,Smallmouth bass,Composite fillet,1,2,8/10/15,2015,0.36,<0.21,1.96,1.29,<0.13,<0.63,<0.13,<0.12,<0.13,19.2,<0.23,<0.24,4.42
#34 GLHHFTS (2015),793434,41.5,Lake Erie,NY,GLNS15-1155,42.53829,-79.27533,Pisces,Smallmouth bass,Composite fillet,1,2,8/28/15,2015,<0.36,<0.21,2.26,1.81,<0.13,<0.63,<0.13,<0.12,<0.13,18.6,0.23,<0.24,5.29
#34 GLHHFTS (2015),793314,45.6,Lake Erie,NY,GLNS15-1158,42.68146,-79.08613,Pisces,Walleye,Composite fillet,1,2,7/20/15,2015,<0.36,<0.21,1.24,0.36,<0.13,<0.63,<0.13,0.36,<0.13,18.7,<0.23,<0.24,1.02
#34 GLHHFTS (2015),806054,64.6,Lake Erie,NY,GLNS15-1166,42.50444,-79.38348,Pisces,Freshwater drum,Fillet,1,1,8/27/15,2015,<0.36,<0.21,0.59,0.22,<0.13,<0.63,<0.13,0.15,<0.13,6.14,<0.23,<0.24,0.59
#34 GLHHFTS (2015),806614,38.78,Lake Erie,NY,GLNS15-2139,42.63452,-79.11702,Pisces,Smallmouth bass,Composite fillet,1,5,9/1/15,2015,<0.36,<0.21,2.44,0.91,<0.13,<0.63,<0.13,<0.12,<0.13,31.1,<0.23,<0.24,2.47
#34 GLHHFTS (2015),806592,35.95,Lake Erie,NY,GLNS15-2141,42.54468,-79.32787,Pisces,White bass,Composite fillet,1,2,8/31/15,2015,<0.36,<0.21,2.72,0.64,<0.13,<0.63,<0.13,1.38,0.18,45.5,<0.23,<0.24,1.85
#34 GLHHFTS (2015),793394,32.65,Lake Erie,NY,GLNS15-2143,42.73754,-78.94866,Pisces,Smallmouth bass,Composite fillet,1,2,8/10/15,2015,<0.36,<0.21,1.44,0.82,<0.13,<0.63,<0.13,<0.12,<0.13,15.6,<0.23,<0.24,2.43
#34 GLHHFTS (2015),793414,38.2,Lake Erie,NY,GLNS15-2152,42.27493,-79.75375,Pisces,Smallmouth bass,Fillet,1,1,9/2/15,2015,<0.36,<0.21,2.17,1.15,<0.13,<0.63,<0.13,<0.12,0.19,30.2,<0.23,<0.24,2.45
#34 GLHHFTS (2015),776854,30.1,Lake Ontario,NY,GLNS15-1288,43.96827,-76.1154,Pisces,White perch,Composite fillet,1,5,8/6/15,2015,<0.36,<0.21,2.74,1.14,<0.13,<0.63,<0.13,0.39,0.16,56.5,<0.23,<0.24,3.36
#34 GLHHFTS (2015),776794,50.75,Lake Ontario,NY,GLNS15-1289,43.9136,-76.18341,Pisces,Walleye,Composite fillet,1,2,7/26/15,2015,<0.36,<0.21,1.29,0.48,<0.13,<0.63,<0.13,0.4,0.95,57.3,<0.23,<0.24,1.29
#34 GLHHFTS (2015),805514,52.43333333,Lake Ontario,NY,GLNS15-1290,43.3582,-78.70273,Pisces,Rainbow trout,Composite fillet,1,3,9/22/15,2015,<0.36,<0.21,0.44,0.11,<0.13,<0.63,<0.13,<0.12,<0.13,25.9,<0.23,<0.24,0.23
#34 GLHHFTS (2015),775714,70.875,Lake Ontario,NY,GLNS15-1291,43.33797,-77.67321,Pisces,Lake trout,Composite fillet,1,4,9/22/15,2015,<0.36,<0.21,0.71,0.27,<0.13,<0.63,<0.13,0.28,<0.13,33,<0.23,<0.24,0.64
#34 GLHHFTS (2015),776754,62.2,Lake Ontario,NY,GLNS15-1292,43.50622,-76.48772,Pisces,Coho salmon,Composite fillet,1,2,9/24/15,2015,<0.36,<0.21,<0.16,<0.09,<0.13,<0.63,<0.13,0.22,<0.13,19.7,<0.23,<0.24,<0.17
#34 GLHHFTS (2015),777794,48.9,Lake Ontario,NY,GLNS15-1293,43.91219,-76.28412,Pisces,Smallmouth bass,Composite fillet,1,2,8/7/15,2015,<0.36,<0.21,2.42,1.69,<0.13,<0.63,<0.13,<0.12,0.59,53.3,<0.23,<0.24,5.7
#34 GLHHFTS (2015),775494,54.4,Lake Ontario,NY,GLNS15-1294,43.31197,-78.889,Pisces,Chinook salmon,Fillet,1,1,9/17/15,2015,<0.36,<0.21,0.53,0.11,<0.13,<0.63,<0.13,0.23,<0.13,35.7,<0.23,<0.24,0.32
#34 GLHHFTS (2015),780834,62.7,Lake Ontario,NY,GLNS15-1295,43.2548,-77.48873,Pisces,Lake trout,Fillet,1,1,6/26/15,2015,<0.36,<0.21,1.04,0.32,<0.13,<0.63,<0.13,0.21,0.17,25.8,<0.23,<0.24,1.32
#34 GLHHFTS (2015),777854,58.75,Lake Ontario,NY,GLNS15-1296,43.58759,-76.25065,Pisces,Coho salmon,Composite fillet,1,2,9/25/15,2015,<0.36,<0.21,<0.16,<0.09,<0.13,<0.63,<0.13,<0.12,<0.13,13.9,<0.23,<0.24,<0.17
#34 GLHHFTS (2015),805674,57.55,Lake Ontario,NY,GLNS15-1297,44.07588,-76.377,Pisces,Channel catfish,Composite fillet,1,2,8/7/15,2015,<0.36,<0.21,1.35,0.87,<0.13,<0.63,<0.13,<0.12,<0.13,9.43,<0.23,<0.24,2.16
#34 GLHHFTS (2015),793014,73.86666667,Lake Ontario,NY,GLNS15-1298,43.38127,-78.08532,Pisces,Rainbow trout,Composite fillet,1,3,9/24/15,2015,<0.36,<0.21,0.38,0.12,<0.13,<0.63,<0.13,0.23,0.24,22.5,<0.23,<0.24,0.22
#34 GLHHFTS (2015),777814,67.6,Lake Ontario,NY,GLNS15-1299,43.43145,-76.62718,Pisces,Lake trout,Fillet,1,1,9/19/15,2015,<0.36,<0.21,<0.16,<0.09,<0.13,<0.63,<0.13,<0.12,0.19,22.5,<0.23,<0.24,0.21
#34 GLHHFTS (2015),776574,77.1,Lake Ontario,NY,GLNS15-1300,43.80338,-76.25182,Pisces,Lake trout,Fillet,1,1,9/9/15,2015,<0.36,<0.21,<0.16,<0.09,<0.13,<0.63,<0.13,<0.12,<0.13,8.88,<0.23,<0.24,<0.17
#34 GLHHFTS (2015),795774,45.65,Lake Ontario,NY,GLNS15-1301,44.00532,-76.18596,Pisces,Smallmouth bass,Composite fillet,1,2,8/4/15,2015,<0.36,<0.21,1.35,1.2,<0.13,<0.63,<0.13,<0.12,0.15,30.5,<0.23,<0.24,3.68
#34 GLHHFTS (2015),780894,70.25,Lake Ontario,NY,GLNS15-1302,43.36138,-77.93097,Pisces,Rainbow trout,Composite fillet,1,2,9/24/15,2015,<0.36,<0.21,<0.16,<0.09,<0.13,<0.63,<0.13,<0.12,<0.13,3.55,<0.23,<0.24,<0.17
#34 GLHHFTS (2015),780874,54.55,Lake Ontario,NY,GLNS15-1303,43.31913,-76.87901,Pisces,Rainbow trout,Composite fillet,1,2,10/17/15,2015,<0.36,<0.21,0.42,<0.09,<0.13,<0.63,<0.13,0.19,<0.13,25.5,<0.23,<0.24,0.24
#34 GLHHFTS (2015),776834,64.5,Lake Ontario,NY,GLNS15-2185,43.34855,-78.79364,Pisces,Chinook salmon,Fillet,1,1,9/17/15,2015,<0.36,<0.21,0.19,<0.09,<0.13,<0.63,<0.13,0.12,<0.13,15.5,<0.23,<0.24,<0.17
#34 GLHHFTS (2015),780974,62.2,Lake Ontario,NY,GLNS15-2186,43.30371,-77.03286,Pisces,Lake trout,Fillet,1,1,9/18/15,2015,<0.36,<0.21,0.23,<0.09,<0.13,<0.63,<0.13,0.12,<0.13,23.4,<0.23,<0.24,<0.17
#34 GLHHFTS (2015),775574,80.7,Lake Ontario,NY,GLNS15-2187,43.28458,-77.59522,Pisces,Lake trout,Fillet,1,1,9/16/15,2015,<0.36,<0.21,0.33,<0.09,<0.13,<0.63,<0.13,0.19,<0.13,11.2,<0.23,<0.24,0.22
#34 GLHHFTS (2015),805634,61.9,Lake Ontario,NY,GLNS15-2188,44.07005,-76.3923,Pisces,Walleye,Composite fillet,1,2,8/5/15,2015,<0.36,<0.21,0.74,0.16,<0.13,<0.63,<0.13,0.26,0.75,34.7,<0.23,<0.24,0.78
#34 GLHHFTS (2015),775674,55.73333333,Lake Ontario,NY,GLNS15-2189,43.3668,-78.59714,Pisces,Rainbow trout,Composite fillet,1,3,9/22/15,2015,<0.36,<0.21,0.41,<0.09,<0.13,<0.63,<0.13,0.16,<0.13,21.7,<0.23,<0.24,0.24
#34 GLHHFTS (2015),780954,74.5,Lake Ontario,NY,GLNS15-2190,43.32406,-76.80657,Pisces,Lake trout,Fillet,1,1,9/24/15,2015,<0.36,<0.21,0.25,<0.09,<0.13,<0.63,<0.13,0.15,<0.13,6.1,<0.23,<0.24,<0.17
#34 GLHHFTS (2015),775594,53.8,Lake Ontario,NY,GLNS15-2191,43.31264,-77.66985,Pisces,Brown trout,Composite fillet,1,5,9/23/15,2015,<0.36,<0.21,1.2,0.68,<0.13,<0.63,<0.13,0.38,<0.13,46.2,<0.23,<0.24,1.55
#34 GLHHFTS (2015),780994,30.72,Lake Ontario,NY,GLNS15-2192,44.04449,-76.23753,Pisces,Smallmouth bass,Composite fillet,1,5,8/5/15,2015,<0.36,<0.21,1.54,0.57,<0.13,<0.63,<0.13,<0.12,<0.13,20.9,<0.23,<0.24,2.12
#34 GLHHFTS (2015),775454,77,Lake Ontario,NY,GLNS15-2193,43.37343,-78.00236,Pisces,Brown trout,Fillet,1,1,9/2/15,2015,<0.36,<0.21,0.58,0.3,<0.13,<0.63,<0.13,<0.12,<0.13,16.6,<0.23,<0.24,0.8
#34 GLHHFTS (2015),777874,78.05,Lake Ontario,NY,GLNS15-2194,43.54976,-76.331,Pisces,Chinook salmon,Composite fillet,1,2,9/24/15,2015,<0.36,<0.21,0.39,<0.09,<0.13,<0.63,<0.13,0.16,<0.13,27.7,<0.23,<0.24,0.21
#34 GLHHFTS (2015),780794,48.1,Lake Ontario,NY,GLNS15-2195,43.3015,-77.36346,Pisces,Smallmouth bass,Fillet,1,1,6/24/15,2015,<0.36,<0.21,1.61,0.72,<0.13,<0.63,<0.13,0.15,0.84,35.2,<0.23,<0.24,1.81
#34 GLHHFTS (2015),795734,47.2,Lake Ontario,NY,GLNS15-2196,43.98062,-76.22676,Pisces,Smallmouth bass,Composite fillet,1,2,8/6/15,2015,<0.36,<0.21,1.7,1.45,<0.13,<0.63,<0.13,<0.12,0.74,45.3,<0.23,<0.24,3.42
#34 GLHHFTS (2015),805594,66.93333333,Lake Ontario,NY,GLNS15-2197,43.39043,-78.31651,Pisces,Rainbow trout,Composite fillet,1,3,9/23/15,2015,<0.36,<0.21,0.48,<0.09,<0.13,<0.63,<0.13,0.26,0.19,23.6,<0.23,<0.24,0.3
#34 GLHHFTS (2015),776734,44.25,Lake Ontario,NY,GLNS15-2198,43.45515,-76.5947,Pisces,Smallmouth bass,Composite fillet,1,2,7/23/15,2015,<0.36,<0.21,1.77,0.48,<0.13,<0.63,<0.13,0.3,0.79,53.4,<0.23,<0.24,1.61
#34 GLHHFTS (2015),776354,74.5,Lake Ontario,NY,GLNS15-2199,43.76225,-76.21927,Pisces,Lake trout,Fillet,1,1,9/18/15,2015,<0.36,<0.21,0.39,0.24,<0.13,<0.63,<0.13,0.24,<0.13,38.8,<0.23,<0.24,0.33
#34 GLHHFTS (2015),795714,72,Lake Ontario,NY,GLNS15-2200,43.95943,-76.18538,Pisces,Northern pike,Fillet,1,1,10/14/15,2015,<0.36,<0.21,0.99,0.37,<0.13,<0.63,<0.13,0.31,0.82,22,<0.23,<0.24,1.01
#34 GLHHFTS (2015),776614,82,Lake Ontario,NY,GLNS15-2201,43.3758,-76.73319,Pisces,Chinook salmon,Fillet,1,1,10/16/15,2015,<0.36,<0.21,0.47,0.16,<0.13,<0.63,<0.13,<0.12,<0.13,36.5,<0.23,<0.24,0.43
#34 GLHHFTS (2015),777114,37.06666667,Lake Erie,PA,GLNS15-1162,42.21606,-79.90829,Pisces,Freshwater drum,Composite fillet,1,3,9/9/15,2015,<0.36,<0.21,2.45,0.9,<0.13,<0.63,<0.13,0.35,0.21,20.3,<0.23,<0.24,3.03
#34 GLHHFTS (2015),777094,34.25,Lake Erie,PA,GLNS15-2148,42.21477,-79.98688,Pisces,Freshwater drum,Composite fillet,1,2,7/8/15,2015,<0.36,<0.21,2.9,1.35,<0.13,<0.63,<0.13,0.42,<0.13,46.7,<0.23,<0.24,3.65
#34 GLHHFTS (2015),778474,21.96,Lake Michigan,IN,GLNS15-2051,41.69124,-87.47798,Pisces,Yellow perch,Composite fillet,1,5,8/5/15,2015,<0.36,<0.21,0.83,0.56,<0.13,<0.63,<0.13,<0.12,<0.13,12.5,<0.23,<0.24,1.04
#34 GLHHFTS (2015),776254,25.66,Lake Erie,MI,GLNS15-1156,41.85549,-83.37181,Pisces,White perch,Composite fillet,1,5,6/7/15,2015,<0.36,<0.21,5.07,1.06,<0.13,<0.63,<0.13,0.17,<0.13,64.4,0.27,<0.24,3.99
#34 GLHHFTS (2015),795874,36.3875,Lake Erie,MI,GLNS15-1164,41.97839,-83.22607,Pisces,White bass,Composite fillet,1,4,8/10/15,2015,<0.36,<0.21,4.15,1.68,<0.13,<0.63,<0.13,1.81,0.67,50.9,<0.23,1.13,3.8
#34 GLHHFTS (2015),795654,51,Lake Erie,MI,GLNS15-2145,41.88473,-83.30825,Pisces,Walleye,Composite fillet,1,2,8/9/15,2015,<0.36,<0.21,1.1,0.97,<0.13,<0.63,<0.13,0.29,0.27,21.5,<0.23,<0.24,1.12
#34 GLHHFTS (2015),776434,44.5,Lake Erie,MI,GLNS15-2153,41.75559,-83.43778,Pisces,Channel catfish,Composite fillet,1,5,6/9/15,2015,<0.36,<0.21,0.86,0.59,<0.13,<0.63,<0.13,0.21,<0.13,4.94,<0.23,<0.24,0.77
#34 GLHHFTS (2015),795814,36.4,Lake Huron,MI,GLNS15-1197,43.66117,-83.81375,Pisces,White perch,Composite fillet,1,2,9/4/15,2015,<0.36,<0.21,3.18,0.8,<0.13,<0.63,<0.13,0.62,<0.13,41.4,<0.23,<0.24,3.97
#34 GLHHFTS (2015),807254,66.9,Lake Huron,MI,GLNS15-1199,45.75036,-84.56395,Pisces,Lake trout,Composite fillet,1,2,9/18/15,2015,<0.36,<0.21,0.57,0.35,<0.13,<0.63,<0.13,0.43,<0.13,6.27,<0.23,0.36,0.87
#34 GLHHFTS (2015),807234,73.5,Lake Huron,MI,GLNS15-1200,44.83935,-83.2425,Pisces,Lake trout,Fillet,1,1,9/8/15,2015,<0.36,<0.21,0.33,0.12,<0.13,<0.63,<0.13,0.31,<0.13,3.17,<0.23,<0.24,0.83
#34 GLHHFTS (2015),795834,34.73333333,Lake Huron,MI,GLNS15-1201,43.69188,-83.60716,Pisces,Freshwater drum,Composite fillet,1,3,8/6/15,2015,<0.36,<0.21,2.14,0.64,<0.13,<0.63,<0.13,0.86,<0.13,25.2,<0.23,<0.24,2.18
#34 GLHHFTS (2015),807954,51.93333333,Lake Huron,MI,GLNS15-1202,45.96307,-84.7143,Pisces,Lake trout,Composite fillet,1,3,9/17/15,2015,<0.36,<0.21,6.49,1.85,<0.13,<0.63,<0.13,9.32,<0.13,33.8,1.93,<0.24,14.1
#34 GLHHFTS (2015),794414,55.55,Lake Huron,MI,GLNS15-1203,45.3781,-83.64797,Pisces,Walleye,Composite fillet,1,2,7/14/15,2015,<0.36,<0.21,0.68,0.47,<0.13,<0.63,<0.13,<0.12,0.53,4.71,<0.23,<0.24,1.67
#34 GLHHFTS (2015),780134,50.4,Lake Huron,MI,GLNS15-1205,45.93965,-84.66939,Pisces,Lake trout,Fillet,1,1,7/11/15,2015,<0.36,<0.21,1.28,0.54,<0.13,<0.63,<0.13,0.56,<0.13,8.77,0.24,<0.24,2.67
#34 GLHHFTS (2015),814374,71,Lake Huron,MI,GLNS15-1206,45.0066,-83.35906,Pisces,Rainbow trout,Fillet,1,1,9/25/15,2015,<0.36,<0.21,0.49,0.16,<0.13,<0.63,<0.13,0.34,<0.13,5.85,<0.23,<0.24,0.59
#34 GLHHFTS (2015),776334,31.82,Lake Huron,MI,GLNS15-1207,43.87991,-83.43664,Pisces,Freshwater drum,Composite fillet,1,5,8/12/15,2015,<0.36,<0.21,1.62,0.49,<0.13,<0.63,<0.13,0.87,0.16,17.5,<0.23,<0.24,2.35
#34 GLHHFTS (2015),806814,50,Lake Huron,MI,GLNS15-1208,44.0135,-82.76739,Pisces,Walleye,Fillet,1,1,9/25/15,2015,<0.36,<0.21,1.8,1.22,<0.13,<0.63,<0.13,0.29,0.35,17.5,<0.23,<0.24,4.12
#34 GLHHFTS (2015),807774,54.85,Lake Huron,MI,GLNS15-1209,45.96071,-84.41915,Pisces,Lake trout,Composite fillet,1,2,9/17/15,2015,<0.36,<0.21,0.7,0.49,<0.13,<0.63,<0.13,0.73,<0.13,9.74,<0.23,<0.24,1.45
#34 GLHHFTS (2015),814314,44.95,Lake Huron,MI,GLNS15-1210,45.18651,-83.33389,Pisces,Lake whitefish,Composite fillet,1,2,9/21/15,2015,<0.36,<0.21,0.39,0.14,<0.13,<0.63,<0.13,0.32,<0.13,3.3,<0.23,<0.24,0.42
#34 GLHHFTS (2015),795494,41.98,Lake Huron,MI,GLNS15-1211,44.26273,-83.47572,Pisces,Freshwater drum,Composite fillet,1,5,7/18/15,2015,<0.36,<0.21,1.91,0.49,<0.13,<0.63,<0.13,1.91,<0.13,30.5,<0.23,<0.24,2.67
#34 GLHHFTS (2015),793894,53.56,Lake Huron,MI,GLNS15-1212,45.36534,-83.55898,Pisces,Lake trout,Composite fillet,1,5,10/10/15,2015,<0.36,<0.21,1.85,0.55,<0.13,<0.63,<0.13,2.04,<0.13,16.2,0.27,<0.24,3.28
#34 GLHHFTS (2015),807354,44.6,Lake Huron,MI,GLNS15-2093,44.72846,-83.23523,Pisces,Longnose sucker,Composite fillet,1,2,9/20/15,2015,<0.36,<0.21,1.95,0.7,<0.13,<0.63,<0.13,2.22,<0.13,17.5,0.69,<0.24,3.11
#34 GLHHFTS (2015),776394,57.1,Lake Huron,MI,GLNS15-2094,45.94648,-83.9938,Pisces,Lake trout,Composite fillet,1,3,9/18/15,2015,<0.36,<0.21,0.56,0.19,<0.13,<0.63,<0.13,0.82,<0.13,7.14,0.24,<0.24,0.92
#34 GLHHFTS (2015),807314,48.45,Lake Huron,MI,GLNS15-2095,44.37575,-83.32763,Pisces,Walleye,Composite fillet,1,4,9/17/15,2015,<0.36,<0.21,1.06,0.25,<0.13,<0.63,<0.13,0.51,<0.13,19.9,<0.23,<0.24,1.68
#34 GLHHFTS (2015),814054,70,Lake Huron,MI,GLNS15-2096,44.09049,-82.99978,Pisces,Rainbow trout,Fillet,1,1,9/25/15,2015,<0.36,<0.21,0.44,0.1,<0.13,<0.63,<0.13,0.18,<0.13,5.46,<0.23,<0.24,0.68
#34 GLHHFTS (2015),807334,42.6,Lake Huron,MI,GLNS15-2097,44.4839,-83.31301,Pisces,White sucker,Fillet,1,1,9/18/15,2015,<0.36,<0.21,0.3,0.19,<0.13,<0.63,<0.13,0.55,<0.13,4.39,<0.23,<0.24,0.56
#34 GLHHFTS (2015),794434,49.2,Lake Huron,MI,GLNS15-2098,45.93351,-84.44576,Pisces,Lake whitefish,Composite fillet,1,3,7/12/15,2015,<0.36,<0.21,1.01,0.11,<0.13,0.96,<0.13,4.88,0.53,11.1,0.25,<0.24,0.94
#34 GLHHFTS (2015),814034,54.33333333,Lake Huron,MI,GLNS15-2099,44.18984,-83.50796,Pisces,White sucker,Composite fillet,1,3,9/11/15,2015,<0.36,<0.21,0.77,0.22,<0.13,<0.63,<0.13,0.87,<0.13,13.1,<0.23,<0.24,1.12
#34 GLHHFTS (2015),806914,28.25,Lake Huron,MI,GLNS15-2100,44.01537,-83.22929,Pisces,Yellow perch,Composite fillet,1,4,9/1/15,2015,<0.36,<0.21,1.34,0.74,<0.13,<0.63,<0.13,0.5,<0.13,12.3,0.23,<0.24,2.71
#34 GLHHFTS (2015),795394,53.78,Lake Huron,MI,GLNS15-2101,45.03396,-83.43878,Pisces,Walleye,Composite fillet,1,5,7/16/15,2015,<0.36,<0.21,1.07,0.72,<0.13,<0.63,<0.13,0.23,0.58,9.6,<0.23,<0.24,2.53
#34 GLHHFTS (2015),814254,30.26,Lake Huron,MI,GLNS15-2102,45.54509,-84.1136,Pisces,Yellow perch,Composite fillet,1,5,9/16/15,2015,<0.36,<0.21,1.64,0.97,<0.13,<0.63,<0.13,0.39,0.2,9.96,<0.23,<0.24,3.18
#34 GLHHFTS (2015),795554,42.4,Lake Huron,MI,GLNS15-2103,43.69398,-83.59829,Pisces,Freshwater drum,Fillet,1,1,9/1/15,2015,<0.36,<0.21,4.3,0.93,<0.13,<0.63,<0.13,0.47,<0.13,48.8,<0.23,<0.24,5.38
#34 GLHHFTS (2015),807594,75,Lake Huron,MI,GLNS15-2104,43.66158,-82.56606,Pisces,Lake trout,Fillet,1,1,9/29/15,2015,<0.36,<0.21,0.58,0.14,<0.13,<0.63,<0.13,0.45,<0.13,6.45,<0.23,<0.24,0.48
#34 GLHHFTS (2015),795574,28.75,Lake Huron,MI,GLNS15-2106,43.66958,-83.64148,Pisces,Yellow perch,Composite fillet,1,4,9/3/15,2015,<0.36,<0.21,1.19,0.3,<0.13,<0.63,<0.13,0.38,<0.13,17.3,<0.23,<0.24,1.5
