Author (Citation),Sample ID,Total Length (cm),Total Weight (g),Maturity,Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFOSA,NMeFOSAA,NEtFOSAA,7:3 FTCA
#48 George et al (2023),YEP BS SCR1,NA,NA,Adult (Sexually Mature),Lake Huron; Lake Erie,St. Clair River,42.61757754,-82.52678538,Pisces,Yellow perch,Composite serum,1,5,5/31/21,2021,0.9,10.3,21.6,25.5,21,19.4,8.3,1.2,1,257,0.2,3.2,3.7,0.5,1.5,NA
#48 George et al (2023),YEP BS SCR2,NA,NA,Adult (Sexually Mature),Lake Huron; Lake Erie,St. Clair River,42.61757754,-82.52678538,Pisces,Yellow perch,Composite serum,1,5,5/31/21,2021,0.6,5.5,7.5,10.1,4.4,7.1,1.8,0.2,0.3,84.6,<0.1,0.7,<0.1,<0.1,0.4,NA
#48 George et al (2023),YEP BS DR1,NA,NA,Adult (Sexually Mature),Lake Huron; Lake Erie,Detroit River,42.17881706,-83.13425667,Pisces,Yellow perch,Composite serum,1,5,5/31/21,2021,<0.1,2.8,15.1,11.3,9.5,6.2,2.9,0.3,0.4,129,0.1,1.9,0.4,0.2,0.2,NA
#48 George et al (2023),YEP BS DR2,NA,NA,Adult (Sexually Mature),Lake Huron; Lake Erie,Detroit River,42.17881706,-83.13425667,Pisces,Yellow perch,Composite serum,1,5,5/31/21,2021,<0.1,2.9,17.8,13.6,9.8,6.8,3.1,0.3,0.4,177,0.2,2.5,0.4,0.3,0.1,NA
#48 George et al (2023),WAE BS SCR1,NA,NA,Adult (Sexually Mature),Lake Huron; Lake Erie,St. Clair River,42.61757754,-82.52678538,Pisces,Walleye,Composite serum,1,5,5/31/21,2021,0.9,7.7,8.2,11.9,6.7,9.9,2.9,0.4,0.5,111,<0.1,1.1,<0.1,0.2,0.2,NA
#48 George et al (2023),WAE BS DR1,NA,NA,Adult (Sexually Mature),Lake Huron; Lake Erie,Detroit River,42.17881706,-83.13425667,Pisces,Walleye,Composite serum,1,5,5/31/21,2021,<0.1,10.3,20.5,19.4,9.5,15.8,4.6,0.7,0.9,279,0.2,2.6,1.2,0.1,0.7,NA
#48 George et al (2023),WAE BS DR2,NA,NA,Adult (Sexually Mature),Lake Huron; Lake Erie,Detroit River,42.17881706,-83.13425667,Pisces,Walleye,Composite serum,1,5,5/31/21,2021,<0.1,7.2,17,12.4,9,9.5,4.8,0.4,0.9,308,0.4,3.2,1.2,0.2,0.5,NA
#48 George et al (2023),ROG M DR1,8.5,7.4,Adult (Sexually Mature),Lake Huron; Lake Erie,Detroit River,42.17881706,-83.13425667,Pisces,Round goby,Composite muscle,1,5,5/31/21,2021,NA,0.0988,0.634,<2.0,0.69,<2.0,0.538,NA,NA,4.95,NA,NA,NA,NA,NA,<2.5
#48 George et al (2023),ROG M DR2,8.5,7.4,Adult (Sexually Mature),Lake Huron; Lake Erie,Detroit River,42.17881706,-83.13425667,Pisces,Round goby,Composite muscle,1,5,5/31/21,2021,NA,<0.1,0.678,<2.0,0.66,<2.0,0.147,NA,NA,4.27,NA,NA,NA,NA,NA,<2.5
#48 George et al (2023),ROG M DR3,8.5,7.4,Adult (Sexually Mature),Lake Huron; Lake Erie,Detroit River,42.17881706,-83.13425667,Pisces,Round goby,Composite muscle,1,5,5/31/21,2021,NA,<0.1,0.139,<2.0,0.139,<2.0,0.139,NA,NA,4.43,NA,NA,NA,NA,NA,<2.5
#48 George et al (2023),ROG M SCR1,10.2,16.4,Adult (Sexually Mature),Lake Huron; Lake Erie,St. Clair River,42.61757754,-82.52678538,Pisces,Round goby,Composite muscle,1,5,5/31/21,2021,NA,0.0943,0.399,<2.0,0.889,<2.0,0.424,NA,NA,1.32,NA,NA,NA,NA,NA,<2.5
#48 George et al (2023),ROG M SCR2,10.2,16.4,Adult (Sexually Mature),Lake Huron; Lake Erie,St. Clair River,42.61757754,-82.52678538,Pisces,Round goby,Composite muscle,1,5,5/31/21,2021,NA,0.141,1.51,2.24,9.33,2.55,2.92,NA,NA,2.81,NA,NA,NA,NA,NA,3.52
#48 George et al (2023),ROG M SCR3,10.2,16.4,Adult (Sexually Mature),Lake Huron; Lake Erie,St. Clair River,42.61757754,-82.52678538,Pisces,Round goby,Composite muscle,1,5,5/31/21,2021,NA,<0.1,0.123,<2.0,2.38,<2.0,0.808,NA,NA,1.03,NA,NA,NA,NA,NA,<2.5
#48 George et al (2023),YEP M DR1,18.9,97.5,Adult (Sexually Mature),Lake Huron; Lake Erie,Detroit River,42.17881706,-83.13425667,Pisces,Yellow perch,Composite muscle,1,5,5/31/21,2021,NA,<0.1,0.633,<0.1,<0.1,<0.1,<0.1,NA,NA,8.53,NA,NA,NA,NA,NA,<2.5
#48 George et al (2023),YEP M DR2,18.9,97.5,Adult (Sexually Mature),Lake Huron; Lake Erie,Detroit River,42.17881706,-83.13425667,Pisces,Yellow perch,Composite muscle,1,5,5/31/21,2021,NA,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,NA,NA,6.83,NA,NA,NA,NA,NA,<2.5
#48 George et al (2023),YEP M DR3,18.9,97.5,Adult (Sexually Mature),Lake Huron; Lake Erie,Detroit River,42.17881706,-83.13425667,Pisces,Yellow perch,Composite muscle,1,5,5/31/21,2021,NA,<0.1,0.595,<2.0,0.595,<2.0,0.595,NA,NA,10.1,NA,NA,NA,NA,NA,<2.5
#48 George et al (2023),YEP M SR1,20.7,135,Adult (Sexually Mature),Lake Huron; Lake Erie,St. Clair River,42.61757754,-82.52678538,Pisces,Yellow perch,Composite muscle,1,5,5/31/21,2021,NA,0.422,<0.1,<0.1,<0.1,<2.0,<0.1,NA,NA,6.4,NA,NA,NA,NA,NA,<2.5
#48 George et al (2023),YEP M SR2,20.7,135,Adult (Sexually Mature),Lake Huron; Lake Erie,St. Clair River,42.61757754,-82.52678538,Pisces,Yellow perch,Composite muscle,1,5,5/31/21,2021,NA,<0.1,<0.1,<0.1,<0.1,<2.0,<0.1,NA,NA,4.75,NA,NA,NA,NA,NA,<2.5
#48 George et al (2023),YEP M SR3,20.7,135,Adult (Sexually Mature),Lake Huron; Lake Erie,St. Clair River,42.61757754,-82.52678538,Pisces,Yellow perch,Composite muscle,1,5,5/31/21,2021,NA,<0.1,<0.1,<0.1,<0.1,<2.0,<0.1,NA,NA,7.28,NA,NA,NA,NA,NA,<2.5
#48 George et al (2023),WAE M DR1,47.5,992,Adult (Sexually Mature),Lake Huron; Lake Erie,Detroit River,42.17881706,-83.13425667,Pisces,Walleye,Composite muscle,1,5,5/31/21,2021,NA,<0.1,0.913,<2.0,<0.1,<0.1,<0.1,NA,NA,12.9,NA,NA,NA,NA,NA,<2.5
#48 George et al (2023),WAE M DR2,47.5,992,Adult (Sexually Mature),Lake Huron; Lake Erie,Detroit River,42.17881706,-83.13425667,Pisces,Walleye,Composite muscle,1,5,5/31/21,2021,NA,<0.1,0.797,<2.0,<0.1,<2.0,<0.1,NA,NA,11.3,NA,NA,NA,NA,NA,<2.5
#48 George et al (2023),WAE M DR3,47.5,992,Adult (Sexually Mature),Lake Huron; Lake Erie,Detroit River,42.17881706,-83.13425667,Pisces,Walleye,Composite muscle,1,5,5/31/21,2021,NA,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,NA,NA,29.6,NA,NA,NA,NA,NA,<2.5
#48 George et al (2023),WAE M SCR1,43.2,731,Adult (Sexually Mature),Lake Huron; Lake Erie,St. Clair River,42.61757754,-82.52678538,Pisces,Walleye,Composite muscle,1,5,5/31/21,2021,NA,0.457,0.457,<2.0,0.457,<2.0,0.457,NA,NA,11.6,NA,NA,NA,NA,NA,<2.5
#48 George et al (2023),WAE M SCR4,43.2,731,Adult (Sexually Mature),Lake Huron; Lake Erie,St. Clair River,42.61757754,-82.52678538,Pisces,Walleye,Composite muscle,1,5,5/31/21,2021,NA,0.0982,0.0982,<2.0,0.0982,<2.0,0.11,NA,NA,3.9,NA,NA,NA,NA,NA,<2.5
#48 George et al (2023),WAE M SCR5,43.2,731,Adult (Sexually Mature),Lake Huron; Lake Erie,St. Clair River,42.61757754,-82.52678538,Pisces,Walleye,Composite muscle,1,5,5/31/21,2021,NA,0.0961,0.0961,<2.0,0.0961,<2.0,0.0961,NA,NA,3.97,NA,NA,NA,NA,NA,<2.5