Author (Citation),Sample ID,Maturity,Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFHxS,PFOS,PFDS,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFPeA,PFHxA,PFHpA,PFOA,PFEtCHxS,PFOSA
#58 De Solla et al (2012),#58DESOLLA 1,NA,Lake Ontario; Lake Erie,Lake Niapenco (E),43.10413072,-79.8276491,Reptilia,Snapping turtle,Composite plasma,9,9,7/15/09,2009,2.3,2376.7,0.3,0.6,4.3,3.6,0.1,0.7,<0.1,<0.1,<0.1,<0.1,<0.1,NA,NA
#58 De Solla et al (2012),#58DESOLLA 2,NA,Lake Ontario; Lake Erie,Lake Niapenco (W),43.10852555,-79.87583403,Reptilia,Snapping turtle,Composite plasma,9,9,7/15/09,2009,3.2,2065.2,0.2,0.1,2,1.6,<0.1,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,NA,NA
#58 De Solla et al (2012),#58DESOLLA 3,NA,Lake Ontario; Lake Erie,Upper Welland River,43.12598048,-79.91559359,Reptilia,Snapping turtle,Plasma,1,1,7/15/09,2009,8.2,2269.4,0.3,0.3,3.4,1.8,<0.1,0.5,<0.1,<0.1,<0.1,<0.1,<0.1,NA,NA
#58 De Solla et al (2012),#58DESOLLA 4,NA,Lake Ontario; Lake Erie,Credit River,43.55615714,-79.61402575,Reptilia,Snapping turtle,Composite plasma,10,10,7/15/09,2009,0.2,171.4,4.2,0.3,2.7,2.6,2.4,1.4,0.6,<0.1,<0.1,<0.1,<0.1,NA,NA
#58 De Solla et al (2012),#58DESOLLA 5,NA,Lake Ontario; Lake Erie,Cootes Paradise,43.26529164,-79.94146446,Reptilia,Snapping turtle,Composite plasma,7,7,7/15/09,2009,0.1,53,2.2,<0.1,4.5,0.8,0.3,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,NA,NA
#58 De Solla et al (2012),#58DESOLLA 6,NA,Lake Ontario; Lake Erie,Humber River,43.75027955,-79.57349928,Reptilia,Snapping turtle,Composite plasma,7,7,7/15/09,2009,0.2,121.4,7.2,0.2,2.3,2,2,0.7,0.4,<0.1,<0.1,<0.1,<0.1,NA,NA
#58 De Solla et al (2012),#58DESOLLA 7,NA,Lake Ontario; Lake Erie,Island Lake,43.93620762,-80.08309802,Reptilia,Snapping turtle,Composite plasma,4,4,7/15/09,2009,<Â 0.1,15.1,0.4,<0.1,1.2,1.3,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,NA,NA
#58 De Solla et al (2012),#58DESOLLA 8,NA,Lake Ontario; Lake Erie,Station 1,43.14844551,-79.94494811,"Shrimp, water fleas, and allies",Amphipods,Bulk composite,2,NA,10/15/10,2010,40.2,643.5,0.5,44.8,11.3,4.4,1.1,0.2,0.6,19,5.4,25.1,53.8,30.6,2.6
#58 De Solla et al (2012),#58DESOLLA 9,NA,Lake Ontario; Lake Erie,Station 2,43.12598048,-79.91559359,"Shrimp, water fleas, and allies",Amphipods,Bulk composite,1,NA,10/15/10,2010,15.4,376.8,<0.25,44.6,8.4,2,0.9,0.6,0.2,9.7,4.6,12.3,49.8,12.1,1.2
#58 De Solla et al (2012),#58DESOLLA 10,NA,Lake Ontario; Lake Erie,Station 3,43.11706572,-79.89978358,"Shrimp, water fleas, and allies",Amphipods,Bulk composite,1,NA,10/15/10,2010,0.7,49.2,0.6,7.3,2.8,1.1,0.1,0.05,0.2,<0.25,0.1,0.6,17.2,2.9,0.5
#58 De Solla et al (2012),#58DESOLLA 11,NA,Lake Ontario; Lake Erie,Station 4,43.11539392,-79.88978227,"Shrimp, water fleas, and allies",Amphipods,Bulk composite,1,NA,10/15/10,2010,2.3,169.8,0.7,15.3,5.8,2.6,0.2,0.1,0.2,0.1,0.5,1.8,37.8,5.3,0.9
#58 De Solla et al (2012),#58DESOLLA 12,NA,Lake Ontario; Lake Erie,Station 5,43.11133637,-79.88188546,"Shrimp, water fleas, and allies",Amphipods,Bulk composite,2,NA,10/15/10,2010,9.9,721.4,<0.25,65.5,12.3,3.8,0.2,0.2,0.2,7.4,2.2,10.3,42.3,8.2,1.5
#58 De Solla et al (2012),#58DESOLLA 13,NA,Lake Ontario; Lake Erie,Station 6,43.11130363,-79.88138966,"Shrimp, water fleas, and allies",Amphipods,Bulk composite,6,NA,10/15/10,2010,4.4,455.4,0.2,48,13,4.5,1,0.6,0.4,2.1,1.1,4.8,60.4,2.9,2.4
#58 De Solla et al (2012),#58DESOLLA 14,NA,Lake Ontario; Lake Erie,"Station 7, 8",43.1052809,-79.82977449,"Shrimp, water fleas, and allies",Amphipods,Bulk composite,2,NA,10/15/10,2010,6.3,1125.9,<0.25,59,51.9,49,7.6,4.1,0.9,1.5,1.6,4.1,37.6,2.5,16.2
#58 De Solla et al (2012),#58DESOLLA 15,NA,Lake Ontario; Lake Erie,Station 10,43.05134392,-79.74830727,"Shrimp, water fleas, and allies",Amphipods,Bulk composite,1,NA,10/15/10,2010,1.7,210.6,<0.25,12.2,4.6,1.4,0.6,0.1,0.4,0.1,0.6,2.4,50.7,0.1,11.7
#58 De Solla et al (2012),#58DESOLLA 16,NA,Lake Ontario; Lake Erie,Station 11,43.04324201,-79.68431508,"Shrimp, water fleas, and allies",Amphipods,Bulk composite,1,NA,10/15/10,2010,2.4,287.2,<0.25,7.9,3.6,1.2,0.5,0.1,0.2,0.2,0.5,1.6,34.1,0.1,17.2
#58 De Solla et al (2012),#58DESOLLA 17,NA,Lake Ontario; Lake Erie,"Station 12, 13, 14 and 15",43.15736172,-79.85929031,"Shrimp, water fleas, and allies",Amphipods,Bulk composite,9,NA,10/15/10,2010,0.2,19.1,0.1,7,4,1.3,0.5,0.3,0.3,<0.25,0.1,1.6,9,0.3,0.4
#58 De Solla et al (2012),#58DESOLLA 18,NA,Lake Ontario; Lake Erie,Station 16,43.09202372,-79.82852054,"Shrimp, water fleas, and allies",Amphipods,Bulk composite,2,NA,10/15/10,2010,0.3,65.7,0.3,15.6,7.8,1.4,0.7,0.1,0.8,0.1,0.2,2.3,47.8,0.05,1
#58 De Solla et al (2012),#58DESOLLA 19,NA,Lake Ontario; Lake Erie,Station 17,43.07701446,-79.82574934,"Shrimp, water fleas, and allies",Amphipods,Bulk composite,1,NA,10/15/10,2010,0.3,169.7,<0.25,7.5,6.8,1.4,0.9,0.8,0.5,0.1,0.3,0.9,27.6,0.08,2.9
#58 De Solla et al (2012),#58DESOLLA 20,NA,Lake Ontario; Lake Erie,Station 5,43.11133637,-79.88188546,"Shrimp, water fleas, and allies",Amphipods,Bulk composite,2,NA,10/15/10,2010,9.92,721.35,<0.25,65.51,12.31,3.77,0.21,0.18,0.23,7.42,2.22,10.35,42.33,8.19,1.52
#58 De Solla et al (2012),#58DESOLLA 21,NA,Lake Ontario; Lake Erie,Station 5,43.11133637,-79.88188546,Insecta,Damselfly,Bulk composite,2,NA,10/15/10,2010,1.65,170.32,<0.25,5.08,1.31,0.35,<0.25,<0.25,<0.25,<0.25,<0.25,0.33,2.63,0.47,0.64
#58 De Solla et al (2012),#58DESOLLA 22,NA,Lake Ontario; Lake Erie,Station 5,43.11133637,-79.88188546,"Shrimp, water fleas, and allies",Caridea shrimp,Bulk composite,3,8,10/15/10,2010,2.58,157.46,<0.25,3.89,1.18,0.5,<0.25,<0.25,<0.25,<0.25,<0.25,0.3,2,ND,2.53
#58 De Solla et al (2012),#58DESOLLA 23,NA,Lake Ontario; Lake Erie,Station 3,43.11706572,-79.89978358,"Shrimp, water fleas, and allies",Caridea shrimp,Bulk composite,3,8,10/15/10,2010,1.06,75.51,<0.25,0.78,0.39,0.07,<0.25,<0.25,<0.25,<0.25,<0.25,<0.25,1.11,NA,4.75
#58 De Solla et al (2012),#58DESOLLA 24,Juvenile,Lake Ontario; Lake Erie,Station 5,43.11133637,-79.88188546,Pisces,Sunfish,Composite whole fish homogenate,1,2,10/15/10,2010,1.16,507.93,<0.25,3.76,4.85,1.33,<0.25,<0.25,<0.25,<0.25,<0.25,0.71,1.29,6.1,1.44
#58 De Solla et al (2012),#58DESOLLA 25,Juvenile,Lake Ontario; Lake Erie,Station 5,43.11133637,-79.88188546,Pisces,Bullhead,Composite whole fish homogenate,1,1,10/15/10,2010,3.09,350.83,<0.25,10.82,11.64,5.26,1.55,<0.25,<0.25,<0.25,<0.25,0.72,3.03,ND,1.27