Author (Citation),Sample ID,Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFOS,PFDS,PFUnA,PFDoA,PFDA,PFNA,PFOA,PFHxS,PFOSA,PFBS,PFHpA
#6 Custer et al (2009),35-1,Lake Michigan,Indiana Dunes Heron Colony,41.62690268,-86.96416137,Aves,Great blue heron,Eggs,1,1,4/28/93,1993,270,3.89,26.37,7.19,7.25,2.58,<1.14,1.29,<0.29,ND,ND
#6 Custer et al (2009),35-10,Lake Michigan,Indiana Dunes Heron Colony,41.62690268,-86.96416137,Aves,Great blue heron,Eggs,1,1,4/28/93,1993,202,11.31,7.89,3.36,2.6,0.98,<1.14,ND,<0.29,ND,ND
#6 Custer et al (2009),35-2,Lake Michigan,Indiana Dunes Heron Colony,41.62690268,-86.96416137,Aves,Great blue heron,Eggs,1,1,4/28/93,1993,429,21.67,9.8,8.8,3.58,0.4,<1.14,<0.29,0.61,ND,ND
#6 Custer et al (2009),35-3,Lake Michigan,Indiana Dunes Heron Colony,41.62690268,-86.96416137,Aves,Great blue heron,Eggs,1,1,4/28/93,1993,107,17.54,8.06,5.1,5.05,0.64,<1.14,ND,<0.29,ND,ND
#6 Custer et al (2009),35-4,Lake Michigan,Indiana Dunes Heron Colony,41.62690268,-86.96416137,Aves,Great blue heron,Eggs,1,1,4/28/93,1993,9827,34.64,33.79,17.32,9.32,1.07,<1.14,13.5,16.32,ND,ND
#6 Custer et al (2009),35-5,Lake Michigan,Indiana Dunes Heron Colony,41.62690268,-86.96416137,Aves,Great blue heron,Eggs,1,1,4/28/93,1993,104,7.9,4.15,5.5,1.46,0.51,<1.14,ND,<0.29,ND,ND
#6 Custer et al (2009),35-6,Lake Michigan,Indiana Dunes Heron Colony,41.62690268,-86.96416137,Aves,Great blue heron,Eggs,1,1,4/28/93,1993,232,5,6.09,3.44,2.86,0.85,<1.14,<0.29,0.4,ND,ND
#6 Custer et al (2009),35-7,Lake Michigan,Indiana Dunes Heron Colony,41.62690268,-86.96416137,Aves,Great blue heron,Eggs,1,1,4/28/93,1993,48,0.43,6.67,1.46,1.21,0.47,<1.14,ND,ND,ND,ND
#6 Custer et al (2009),35-8,Lake Michigan,Indiana Dunes Heron Colony,41.62690268,-86.96416137,Aves,Great blue heron,Eggs,1,1,4/28/93,1993,108,ND,5.86,1.74,1.54,1.06,<1.14,1.36,ND,ND,ND
#6 Custer et al (2009),35-9,Lake Michigan,Indiana Dunes Heron Colony,41.62690268,-86.96416137,Aves,Great blue heron,Eggs,1,1,4/28/93,1993,468,28.84,9.05,4.02,1.82,0.51,<1.14,1.19,1.01,ND,ND