Author (Citation),Sample ID,Total Length (cm),Total Weight (g),Maturity,d13C,d15N,Waterbody,Region,Location,Latitude,Longitude,Latitude 2,Longitude 2,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFHxDA,PFPrS,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFDoS,FBSA,FHxSA,PFOSA,NMeFBSA,NMeFOSA,NEtFOSA,FOSAA,NMeFOSAA,NEtFOSAA,3:3 FTCA,5:3 FTCA,7:3 FTCA,6:2 FTCA,8:2 FTCA,10:2 FTCA,4:2 FTSA,6:2 FTSA,8:2 FTSA,10:2 FTSA,Gen-X,ADONA,6:2 Cl-PFESA,8:2 Cl-PFESA,Cl-PFOS,PFEtCHxS,PFHxPA,PFOPA,6:2 diPAP,PFHxSAm,PFOSAm,PFHxSAmS,PFOSAmS,PFOANO,PFOSNO,PFOAB,PFOSB,5:3 FTB,5:1:2 FTB,6:2 FTAB
#8 Munoz et al (2022),LEGI-1,17.9,115,Adult (Sexually Mature),-23.44,12.32,Lake Ontario,St. Lawrence River,Iles de Boucherville,45.61042111,-73.4832161,45.7160065,-73.44774639,Pisces,Pumpkinseed,Whole fish homogenate,1,1,9/19/19,2019,0.175,<0.03,<0.016,<0.02,0.12,1.052,3.825,4.106,1.806,1.933,0.716,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,67.634,<0.007,0.846,<0.005,0.44,0.074,0.185,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),LEGI-2,14.9,71,Adult (Sexually Mature),-21.22,12.59,Lake Ontario,St. Lawrence River,Iles de Boucherville,45.61042111,-73.4832161,45.7160065,-73.44774639,Pisces,Pumpkinseed,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,0.069,1.899,4.332,5.323,2.033,2.36,0.798,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,69.45,0.034,1.791,<0.005,0.2,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),LEGI-3,16.6,115,Adult (Sexually Mature),-22.7,12.98,Lake Ontario,St. Lawrence River,Iles de Boucherville,45.61042111,-73.4832161,45.7160065,-73.44774639,Pisces,Pumpkinseed,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.523,2.478,2.473,1.51,2.279,1.144,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,53.46,0.013,0.857,<0.005,0.574,0.285,0.532,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,0.011,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),LEGI-4,19.4,180,Adult (Sexually Mature),-23.3,13.67,Lake Ontario,St. Lawrence River,Iles de Boucherville,45.61042111,-73.4832161,45.7160065,-73.44774639,Pisces,Pumpkinseed,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.291,2.934,3.94,2.009,2.904,0.987,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,61.262,0.015,1.326,<0.005,0.498,0.088,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),LEGI-5,9.85,18.5,Adult (Sexually Mature),-20.32,13.66,Lake Ontario,St. Lawrence River,Iles de Boucherville,45.61042111,-73.4832161,45.7160065,-73.44774639,Pisces,Pumpkinseed,Whole fish homogenate,1,1,9/19/19,2019,0.273,<0.03,<0.016,<0.02,0.072,2.458,6.169,4.226,1.282,0.99,0.332,<0.591,<0.017,<0.005,<0.006,0.024,0.036,96.639,0.017,0.574,<0.005,0.212,<0.016,0.128,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,0.025,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),MIDO-1,18.9,101,Adult (Sexually Mature),-22.11,14.71,Lake Ontario,St. Lawrence River,Iles de Boucherville,45.61042111,-73.4832161,45.7160065,-73.44774639,Pisces,Smallmouth bass,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.486,3.611,3.425,1.093,1.152,0.242,<0.591,<0.017,<0.005,<0.006,0.006,0.039,81.573,0.027,0.957,<0.005,0.12,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,0.034,0.042,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,0.043,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),MIDO-2,29.5,385,Adult (Sexually Mature),-19.78,12.02,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Smallmouth bass,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,<0.01,2.761,4.158,2.246,2.109,0.596,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,46.526,<0.007,1.418,<0.005,0.236,0.147,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,0.344,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),MIDO-3,19.9,118,Adult (Sexually Mature),-22.17,14.73,Lake Ontario,St. Lawrence River,Iles de Boucherville,45.61042111,-73.4832161,45.7160065,-73.44774639,Pisces,Smallmouth bass,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.433,2.795,2.326,0.723,0.74,0.164,<0.591,<0.017,<0.005,<0.006,0.018,0.02,71.017,0.013,0.836,<0.005,0.348,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,0.031,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,0.088,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,0.088,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),MIDO-4,18.1,80,Adult (Sexually Mature),-21.37,14.85,Lake Ontario,St. Lawrence River,Iles de Boucherville,45.61042111,-73.4832161,45.7160065,-73.44774639,Pisces,Smallmouth bass,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,1.189,5.356,4.51,1.414,1.043,0.316,<0.591,<0.017,<0.005,<0.006,0.047,0.059,139.791,0.046,1.682,<0.005,0.227,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,0.05,0.055,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,0.184,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),MIDO-5,38.2,685,Adult (Sexually Mature),-19.47,15.17,Lake Ontario,St. Lawrence River,Iles de Boucherville,45.61042111,-73.4832161,45.7160065,-73.44774639,Pisces,Smallmouth bass,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.044,4.746,6.807,2.838,2.782,1.009,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,72.359,0.013,1.454,<0.005,0.588,0.224,0.254,<0.02,<0.01,<0.013,<0.161,0.046,0.038,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),MIDO-6,44,1105,Adult (Sexually Mature),-19.41,15.3,Lake Ontario,St. Lawrence River,Iles de Boucherville,45.61042111,-73.4832161,45.7160065,-73.44774639,Pisces,Smallmouth bass,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,<0.01,3.771,4.294,1.668,1.538,0.448,<0.591,<0.017,<0.005,<0.006,<0.005,0.011,54.142,0.012,0.799,<0.005,0.357,0.248,0.178,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NEME-2,10.6,15,Adult (Sexually Mature),-20.07,12.29,Lake Ontario,St. Lawrence River,Iles de Boucherville,45.61042111,-73.4832161,45.7160065,-73.44774639,Pisces,Round goby,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,0.092,1.536,2.123,1.983,0.748,0.956,0.251,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,27.157,<0.007,0.361,<0.005,<0.006,0.053,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,0.032,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NEME-3,11.3,22,Adult (Sexually Mature),-20.29,12.41,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Round goby,Whole fish homogenate,1,1,9/19/19,2019,0.152,<0.03,<0.016,<0.02,<0.013,0.89,3.134,3.716,2.099,2.148,0.996,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,28.181,<0.007,0.897,<0.005,<0.006,<0.016,0.109,<0.02,<0.01,<0.013,<0.161,0.039,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NEME-4,9.9,15,Adult (Sexually Mature),-19.12,12.29,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Round goby,Whole fish homogenate,1,1,9/19/19,2019,0.15,<0.03,<0.016,<0.02,<0.013,2.763,5.182,4.6,1.556,1.303,0.271,<0.591,<0.017,<0.005,<0.006,<0.005,0.011,47.533,<0.007,0.669,<0.005,0.034,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NEME-5,NA,NA,Adult (Sexually Mature),-18.93,12.29,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Round goby,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.421,2.759,4.089,1.973,1.661,0.432,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,24.459,<0.007,1.109,<0.005,0.025,<0.016,0.221,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NEME-7,NA,NA,Adult (Sexually Mature),-22.08,10.17,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Round goby,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,0.074,1.052,3.246,3.254,1.365,1.346,0.431,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,30.104,<0.007,0.654,<0.005,0.109,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,0.053,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NEME-8,NA,NA,Adult (Sexually Mature),-19.02,12.85,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Round goby,Whole fish homogenate,1,1,9/19/19,2019,0.132,<0.03,<0.016,<0.02,<0.013,1.094,3.975,3.431,1.623,1.339,0.434,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,42.692,<0.007,0.729,<0.005,0.042,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NEME-9,NA,NA,Adult (Sexually Mature),-20.15,12.33,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Round goby,Whole fish homogenate,1,1,9/19/19,2019,0.179,<0.03,<0.016,<0.02,0.021,1.28,4.214,3.613,1.377,1.495,0.442,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,37.371,<0.007,0.506,<0.005,0.129,0.199,0.123,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOAT-1,8.9,4.35,Adult (Sexually Mature),-24.76,9.91,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Emerald shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.468,1.13,1.059,0.457,0.424,0.201,<0.591,<0.017,<0.005,<0.006,0.021,<0.007,20.605,<0.007,0.96,<0.005,0.11,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,0.035,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOAT-2,9.4,5.25,Adult (Sexually Mature),-21.75,10.85,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Emerald shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.269,0.621,0.452,0.101,0.091,0.037,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,12.01,<0.007,0.261,<0.005,0.079,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,0.078,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOAT-3,9.45,6.5,Adult (Sexually Mature),-22.22,9.52,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Emerald shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.3,0.72,0.559,0.248,0.183,0.134,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,14.306,<0.007,0.289,<0.005,0.113,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,0.306,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOAT-4,9.2,6,Adult (Sexually Mature),-24.16,11.01,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Emerald shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,0.025,1.215,2.645,2.417,0.951,0.585,0.408,<0.591,<0.017,<0.005,<0.006,<0.005,0.014,31.507,<0.007,1.039,<0.005,0.236,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOAT-5,9.8,6,Adult (Sexually Mature),-25.16,11.36,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Emerald shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.829,2.647,2.33,0.799,<0.009,0.24,<0.591,<0.017,<0.005,<0.006,<0.005,0.017,71.702,<0.007,0.304,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,0.217,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOCR-1,11.85,15.05,Adult (Sexually Mature),-20.93,11.74,Lake Ontario,St. Lawrence River,Ile Beauregard,45.75109236,-73.41078688,45.7160065,-73.44774639,Pisces,Gold shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,<0.01,0.814,1.019,0.279,0.453,0.056,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,14.915,<0.007,0.289,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOCR-2,10.75,12.75,Adult (Sexually Mature),-20.18,11.33,Lake Ontario,St. Lawrence River,Ile Beauregard,45.75109236,-73.41078688,45.7160065,-73.44774639,Pisces,Gold shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.328,1.367,0.938,0.328,0.228,0.037,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,17.926,<0.007,0.111,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,0.04,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOCR-3,10.1,9.2,Adult (Sexually Mature),-21.64,10.74,Lake Ontario,St. Lawrence River,Iles Robinet / Ile Beauregard,45.74298015,-73.42159338,45.7160065,-73.44774639,Pisces,Gold shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.103,1.246,1.057,0.435,0.498,0.071,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,15.784,<0.007,0.338,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOCR-4,10,8.45,Adult (Sexually Mature),-22.62,10.5,Lake Ontario,St. Lawrence River,Iles Robinet / Ile Beauregard,45.74298015,-73.42159338,45.7160065,-73.44774639,Pisces,Gold shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.224,1.236,1.532,0.902,0.583,0.15,<0.591,<0.017,<0.005,<0.006,0.024,<0.007,16.412,<0.007,0.361,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,0.041,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
