Year,Lake Superior,Lake Michigan-Huron,Lake Erie,Lake Ontario
1918,183.33,176.89,174.02,74.87
1919,183.40,176.75,174.18,74.96
1920,183.43,176.63,173.91,74.57
1921,183.36,176.49,174.03,74.67
1922,183.32,176.45,173.93,74.66
1923,183.22,176.26,173.76,74.44
1924,183.13,176.19,173.84,74.56
1925,183.03,175.92,173.59,74.39
1926,182.94,175.89,173.64,74.40
1927,183.32,176.15,173.82,74.61
1928,183.47,176.44,173.95,74.80
1929,183.50,176.90,174.31,75.09
1930,183.44,176.65,174.27,75.08
1931,183.33,176.12,173.71,74.36
1932,183.43,175.94,173.74,74.50
1933,183.45,175.87,173.68,74.28
1934,183.50,175.77,173.33,74.02
1935,183.51,175.89,173.41,74.00
1936,183.46,175.94,173.49,74.16
1937,183.45,175.92,173.82,74.50
1938,183.56,176.14,173.84,74.52
1939,183.56,176.27,173.85,74.49
1940,183.38,176.14,173.80,74.43
1941,183.44,176.12,173.70,74.41
1942,183.54,176.33,173.88,74.52
1943,183.61,176.63,174.23,75.13
1944,183.51,176.60,174.09,74.85
1945,183.54,176.57,174.19,75.06
1946,183.52,176.60,174.14,74.99
1947,183.55,176.57,174.24,75.17
1948,183.39,176.53,174.22,75.08
1949,183.44,176.21,173.97,74.74
1950,183.63,176.26,174.14,74.89
1951,183.70,176.74,174.32,75.25
1952,183.63,177.09,174.52,75.37
1953,183.48,176.93,174.33,75.02
1954,183.41,176.83,174.29,74.98
1955,183.34,176.72,174.35,75.15
1956,183.33,176.44,174.12,74.92
1957,183.32,176.26,174.04,74.63
1958,183.31,176.07,173.81,74.43
1959,183.40,176.01,173.85,74.48
1960,183.42,176.48,174.09,74.71
1961,183.31,176.38,174.10,74.61
1962,183.31,176.22,173.91,74.64
1963,183.30,175.92,173.73,74.66
1964,183.34,175.68,173.61,74.29
1965,183.34,175.92,173.71,74.40
1966,183.40,176.16,173.90,74.69
1967,183.39,176.30,174.06,74.86
1968,183.49,176.45,174.20,74.80
1969,183.51,176.70,174.39,74.75
1970,183.45,176.68,174.26,74.69
1971,183.58,176.81,174.31,74.72
1972,183.55,176.89,174.50,74.94
1973,183.60,177.12,174.74,75.21
1974,183.62,177.09,174.69,75.07
1975,183.59,176.97,174.62,74.81
1976,183.48,176.90,174.57,75.04
1977,183.37,176.51,174.30,74.76
1978,183.44,176.59,174.37,74.92
1979,183.49,176.79,174.39,74.84
1980,183.44,176.80,174.52,74.82
1981,183.36,176.70,174.40,74.79
1982,183.42,176.60,174.43,74.75
1983,183.57,176.83,174.52,74.82
1984,183.54,176.90,174.52,74.90
1985,183.67,177.13,174.73,74.88
1986,183.73,177.29,174.90,75.15
1987,183.47,176.97,174.67,74.85
1988,183.32,176.56,174.26,74.68
1989,183.40,176.40,174.23,74.76
1990,183.26,176.35,174.29,74.80
1991,183.35,176.47,174.33,74.87
1992,183.40,176.48,174.36,74.83
1993,183.45,176.70,174.51,75.04
1994,183.44,176.68,174.37,74.76
1995,183.34,176.53,174.28,74.74
1996,183.55,176.65,174.37,74.87
1997,183.60,176.98,174.72,74.96
1998,183.32,176.72,174.55,74.91
1999,183.27,176.24,174.10,74.57
2000,183.18,175.98,173.99,74.78
2001,183.20,175.95,173.91,74.70
2002,183.29,176.12,174.06,74.79
2003,183.19,175.89,173.97,74.71
2004,183.30,176.11,174.12,74.85
2005,183.33,176.09,174.17,74.81
2006,183.18,176.02,174.14,74.83
2007,182.98,175.94,174.14,74.75
2008,183.21,176.01,174.16,74.88
2009,183.26,176.26,174.25,74.87
2010,183.15,176.11,174.06,74.67
2011,183.09,176.04,174.24,74.80
2012,183.10,175.92,174.13,74.70
2013,183.22,175.90,174.06,74.74
2014,183.51,176.30,174.21,74.77
2015,183.57,176.59,174.32,74.74
2016,183.58,176.70,174.41,74.80
2017,183.63,176.77,174.58,75.18
2018,183.63,176.86,174.67,74.90
2019,183.75,177.14,174.84,75.27
2020,183.70,177.30,174.89,75.03
2021,183.48,176.93,174.67,74.72
2022,183.46,176.65,174.49,74.81
2023,183.55,176.56,174.48,74.90